Source Name	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Cell Line]	Term Source 2 REF	Term Source 2 Accession	Protocol REF	Protocol REF	Protocol REF	Assay Name	Experimental Condition [ # fill in]	Comment [Gene Identifier]	Comment [Gene Symbol]	Comment [Gene Annotation Comments]	Dataset Name	Image File	Comment [Image File Path]	Comment [Image File Comments]	Comment [Image File Type]	Channels	Protocol REF	Processed Data File
# an identifier for the sample	# the species of the sample e.g.Homo sapiens	NCBITaxon	# leave blank	# the name of the cell line used e.g HeLa (if appropriate)  Other Characteristics columns can be added as necessary e.g. Characteristics [Organism Part]	EFO	# leave blank	growth protocol	treatment protocol	image acquisition and feature extraction protocol	"# an name for the imaging assay. This column can be used to group several images together If several images (e.g. fields, or replicate images) have been taken of the same sample then repeat the assay name on each row corresponding to the imaging file.  It can also be used to group raw and processed images from the same assay together"""	"# add an experimental condition if there is one e.g. 'targeted protein', or 'antibody'"	# enter an identifier for any associated genes e.g. ensembl identifier for targeted protein	# enter gene symbol for any associated genes e.g. BRCA1	# any comments about the gene annotation e.g. what gene annotation build the gene identifiers come from	# this column can be used to group images into datasets. These datasets will be used to group the images in the Image Data Resource. The name can be the same as the assay name.	# the name of the image file	# the path to the file	# any comments about image files (can say its missing if you no longer have it)	# is it a raw image or derived?	# the names of the channels and what was labeled in each channel	# data analysis protocol	# name of the file with the results in
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_01_FUS.dv			"raw, fused"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_01_FUS_SIR_THR_MCF_ALN-full.tif			"fused, reconstructed, thresholded, filtered, aligned"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_02_FUS.dv			"raw, fused"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_02_FUS_SIR_THR_MCF_ALN-full.tif			"fused, reconstructed, thresholded, filtered, aligned"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_03_FUS.dv			"raw, fused"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_03_FUS_SIR_THR_MCF_ALN-full.tif			"fused, reconstructed, thresholded, filtered, aligned"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_04_FUS.dv			"raw, fused"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_04_FUS_SIR_THR_MCF_ALN-full.tif			"fused, reconstructed, thresholded, filtered, aligned"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_05_FUS.dv			"raw, fused"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_05_FUS_SIR_THR_MCF_ALN-full.tif			"fused, reconstructed, thresholded, filtered, aligned"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
RNA-SPLIT CIZ1 KO NPCs	mus musculus 			XX mouse CIZ1 KO NPCs	na		TC NPC differentiation protocol	RNA-SPLIT to assess transcription dynamics (t10)	3D SIM OMX V3	RNA-SPLIT	Bgl-stem-loop labeling of Xist RNA with BglG-Halo	MGP_129S1SvImJ_G0007554; MGP_129S1SvImJ_G0025603	Xist; Ciz1		RNA-SPLIT CIZ1 KO NPCs	20200205_nascent_Xist_dynamics_CIZ1KO_NPC_10min_06_FUS.dv			"raw, fused"	"405: DAPI signal, 488: RNA-SPLIT signal (first HaloTag labelling round), 594: RNA-SPLIT signal (second HaloTag labelling round)"		
